qid	pid	score
1409501a35697e0ce68561e29577b90a_1	1804	0.0
1409501a35697e0ce68561e29577b90a_1	1805	0.34793785214424133
1409501a35697e0ce68561e29577b90a_1	1806	4.6040520668029785
1409501a35697e0ce68561e29577b90a_3	1804	0.9604306221008301
1409501a35697e0ce68561e29577b90a_3	1805	1.8354060649871826
1409501a35697e0ce68561e29577b90a_3	1806	5.201615333557129
1409501a35697e0ce68561e29577b90a_5	1804	7.627933025360107
1409501a35697e0ce68561e29577b90a_5	1805	3.9000163078308105
1409501a35697e0ce68561e29577b90a_5	1806	5.107728958129883
1409501a35697e0ce68561e29577b90a_7	2792	2.1849052906036377
1409501a35697e0ce68561e29577b90a_7	2793	9.575557708740234
1409501a35697e0ce68561e29577b90a_7	2794	2.6687545776367188
1409501a35697e0ce68561e29577b90a_9	2792	0.010813363827764988
1409501a35697e0ce68561e29577b90a_9	2793	6.424309253692627
1409501a35697e0ce68561e29577b90a_9	2794	0.03524350747466087
1409501a35697e0ce68561e29577b90a_11	2792	0.0
1409501a35697e0ce68561e29577b90a_11	2793	5.136598587036133
1409501a35697e0ce68561e29577b90a_11	2794	0.6920260787010193
98c58a56af5e55754eeb7d427928ff66_1	1804	8.617334365844727
98c58a56af5e55754eeb7d427928ff66_1	1805	1.854953408241272
98c58a56af5e55754eeb7d427928ff66_1	1806	1.5530333518981934
98c58a56af5e55754eeb7d427928ff66_6	1804	3.9774715900421143
98c58a56af5e55754eeb7d427928ff66_6	1805	4.131891250610352
98c58a56af5e55754eeb7d427928ff66_6	1806	8.279878616333008
98c58a56af5e55754eeb7d427928ff66_8	2792	4.63601541519165
98c58a56af5e55754eeb7d427928ff66_8	2793	0.7082511782646179
98c58a56af5e55754eeb7d427928ff66_8	2794	1.193140983581543
98c58a56af5e55754eeb7d427928ff66_10	2792	5.285519599914551
98c58a56af5e55754eeb7d427928ff66_10	2793	2.625743865966797
98c58a56af5e55754eeb7d427928ff66_10	2794	3.3420228958129883
98c58a56af5e55754eeb7d427928ff66_12	2792	5.971687316894531
98c58a56af5e55754eeb7d427928ff66_12	2793	4.877203941345215
98c58a56af5e55754eeb7d427928ff66_12	2794	2.0212769508361816
56f37985586c76d125118233adb410fa_1	1831	8.77731990814209
56f37985586c76d125118233adb410fa_1	1832	12.76168155670166
56f37985586c76d125118233adb410fa_1	1833	14.389902114868164
56f37985586c76d125118233adb410fa_1	1835	9.737149238586426
56f37985586c76d125118233adb410fa_1	1837	10.027386665344238
56f37985586c76d125118233adb410fa_1	1838	6.898544788360596
56f37985586c76d125118233adb410fa_4	1831	13.93584156036377
56f37985586c76d125118233adb410fa_4	1832	9.409246444702148
56f37985586c76d125118233adb410fa_4	1833	14.879175186157227
56f37985586c76d125118233adb410fa_4	1835	8.445066452026367
56f37985586c76d125118233adb410fa_4	1837	7.620760440826416
56f37985586c76d125118233adb410fa_4	1838	5.292828559875488
56f37985586c76d125118233adb410fa_6	1831	8.993800163269043
56f37985586c76d125118233adb410fa_6	1832	7.565295696258545
56f37985586c76d125118233adb410fa_6	1833	11.876072883605957
56f37985586c76d125118233adb410fa_6	1835	7.210838317871094
56f37985586c76d125118233adb410fa_6	1837	6.745655059814453
56f37985586c76d125118233adb410fa_6	1838	12.58207893371582
56f37985586c76d125118233adb410fa_8	1831	8.102572441101074
56f37985586c76d125118233adb410fa_8	1832	8.784392356872559
56f37985586c76d125118233adb410fa_8	1833	10.529021263122559
56f37985586c76d125118233adb410fa_8	1835	9.486685752868652
56f37985586c76d125118233adb410fa_8	1837	11.723175048828125
56f37985586c76d125118233adb410fa_8	1838	7.725943565368652
56f37985586c76d125118233adb410fa_10	1831	5.970036506652832
56f37985586c76d125118233adb410fa_10	1832	9.536324501037598
56f37985586c76d125118233adb410fa_10	1833	13.63676929473877
56f37985586c76d125118233adb410fa_10	1835	5.535373687744141
56f37985586c76d125118233adb410fa_10	1837	6.167545318603516
56f37985586c76d125118233adb410fa_10	1838	5.102362632751465
56f37985586c76d125118233adb410fa_12	1831	16.624574661254883
56f37985586c76d125118233adb410fa_12	1832	5.383141994476318
56f37985586c76d125118233adb410fa_12	1833	12.189876556396484
56f37985586c76d125118233adb410fa_12	1835	5.03456974029541
56f37985586c76d125118233adb410fa_12	1837	5.186647415161133
56f37985586c76d125118233adb410fa_12	1838	3.468820571899414
82ba8181a008d2f3f0d004846ff458c6_1	1831	7.795418739318848
82ba8181a008d2f3f0d004846ff458c6_1	1832	11.788229942321777
82ba8181a008d2f3f0d004846ff458c6_1	1833	13.187925338745117
82ba8181a008d2f3f0d004846ff458c6_1	1835	8.603832244873047
82ba8181a008d2f3f0d004846ff458c6_1	1837	8.632312774658203
82ba8181a008d2f3f0d004846ff458c6_1	1838	6.17612361907959
82ba8181a008d2f3f0d004846ff458c6_4	1831	14.135658264160156
82ba8181a008d2f3f0d004846ff458c6_4	1832	10.6720609664917
82ba8181a008d2f3f0d004846ff458c6_4	1833	15.404073715209961
82ba8181a008d2f3f0d004846ff458c6_4	1835	9.473608016967773
82ba8181a008d2f3f0d004846ff458c6_4	1837	8.347904205322266
82ba8181a008d2f3f0d004846ff458c6_4	1838	5.785266876220703
82ba8181a008d2f3f0d004846ff458c6_6	1831	8.188653945922852
82ba8181a008d2f3f0d004846ff458c6_6	1832	12.032255172729492
82ba8181a008d2f3f0d004846ff458c6_6	1833	13.85796070098877
82ba8181a008d2f3f0d004846ff458c6_6	1835	8.449995994567871
82ba8181a008d2f3f0d004846ff458c6_6	1837	6.988522529602051
82ba8181a008d2f3f0d004846ff458c6_6	1838	5.3478546142578125
82ba8181a008d2f3f0d004846ff458c6_8	1831	4.247053146362305
82ba8181a008d2f3f0d004846ff458c6_8	1832	6.381414413452148
82ba8181a008d2f3f0d004846ff458c6_8	1833	5.608303546905518
82ba8181a008d2f3f0d004846ff458c6_8	1835	7.6030988693237305
82ba8181a008d2f3f0d004846ff458c6_8	1837	8.476092338562012
82ba8181a008d2f3f0d004846ff458c6_8	1838	3.1567344665527344
82ba8181a008d2f3f0d004846ff458c6_10	1831	5.56624698638916
82ba8181a008d2f3f0d004846ff458c6_10	1832	8.1746244430542
82ba8181a008d2f3f0d004846ff458c6_10	1833	7.583467483520508
82ba8181a008d2f3f0d004846ff458c6_10	1835	9.21776294708252
82ba8181a008d2f3f0d004846ff458c6_10	1837	9.721196174621582
82ba8181a008d2f3f0d004846ff458c6_10	1838	4.419102191925049
82ba8181a008d2f3f0d004846ff458c6_12	1831	7.510448455810547
82ba8181a008d2f3f0d004846ff458c6_12	1832	9.003355026245117
82ba8181a008d2f3f0d004846ff458c6_12	1833	9.36570930480957
82ba8181a008d2f3f0d004846ff458c6_12	1835	12.532999038696289
82ba8181a008d2f3f0d004846ff458c6_12	1837	6.612125396728516
82ba8181a008d2f3f0d004846ff458c6_12	1838	5.502624988555908
d157d69d6ee78cabbc77dd57c4d41862_1	1869	6.268401622772217
d157d69d6ee78cabbc77dd57c4d41862_1	1870	4.059122085571289
d157d69d6ee78cabbc77dd57c4d41862_1	1871	5.7934770584106445
d157d69d6ee78cabbc77dd57c4d41862_1	1873	3.6009626388549805
d157d69d6ee78cabbc77dd57c4d41862_1	1874	9.385483741760254
d157d69d6ee78cabbc77dd57c4d41862_4	1869	6.9742326736450195
d157d69d6ee78cabbc77dd57c4d41862_4	1870	4.952347755432129
d157d69d6ee78cabbc77dd57c4d41862_4	1871	7.206497669219971
d157d69d6ee78cabbc77dd57c4d41862_4	1873	3.323512077331543
d157d69d6ee78cabbc77dd57c4d41862_4	1874	9.318190574645996
d157d69d6ee78cabbc77dd57c4d41862_6	1869	8.91464614868164
d157d69d6ee78cabbc77dd57c4d41862_6	1870	6.598444938659668
d157d69d6ee78cabbc77dd57c4d41862_6	1871	12.187150001525879
d157d69d6ee78cabbc77dd57c4d41862_6	1873	3.2862977981567383
d157d69d6ee78cabbc77dd57c4d41862_6	1874	9.50428295135498
d157d69d6ee78cabbc77dd57c4d41862_8	1869	5.4145965576171875
d157d69d6ee78cabbc77dd57c4d41862_8	1870	4.26967716217041
d157d69d6ee78cabbc77dd57c4d41862_8	1871	8.277067184448242
d157d69d6ee78cabbc77dd57c4d41862_8	1873	1.6746457815170288
d157d69d6ee78cabbc77dd57c4d41862_8	1874	6.203456401824951
d157d69d6ee78cabbc77dd57c4d41862_10	1869	7.045945644378662
d157d69d6ee78cabbc77dd57c4d41862_10	1870	5.368115425109863
d157d69d6ee78cabbc77dd57c4d41862_10	1871	9.670085906982422
d157d69d6ee78cabbc77dd57c4d41862_10	1873	4.482766151428223
d157d69d6ee78cabbc77dd57c4d41862_10	1874	8.136771202087402
d157d69d6ee78cabbc77dd57c4d41862_12	1869	10.961856842041016
d157d69d6ee78cabbc77dd57c4d41862_12	1870	4.0961079597473145
d157d69d6ee78cabbc77dd57c4d41862_12	1871	8.163023948669434
d157d69d6ee78cabbc77dd57c4d41862_12	1873	3.5056660175323486
d157d69d6ee78cabbc77dd57c4d41862_12	1874	7.8017120361328125
389cc90cb2e3c1ef291ea78b73ece9d4_1	1869	8.111425399780273
389cc90cb2e3c1ef291ea78b73ece9d4_1	1870	7.057599067687988
389cc90cb2e3c1ef291ea78b73ece9d4_1	1871	13.624430656433105
389cc90cb2e3c1ef291ea78b73ece9d4_1	1873	3.3315651416778564
389cc90cb2e3c1ef291ea78b73ece9d4_1	1874	5.946589469909668
389cc90cb2e3c1ef291ea78b73ece9d4_6	1869	6.785060882568359
389cc90cb2e3c1ef291ea78b73ece9d4_6	1870	4.767763614654541
389cc90cb2e3c1ef291ea78b73ece9d4_6	1871	9.045629501342773
389cc90cb2e3c1ef291ea78b73ece9d4_6	1873	2.573188543319702
389cc90cb2e3c1ef291ea78b73ece9d4_6	1874	5.34658670425415
389cc90cb2e3c1ef291ea78b73ece9d4_8	2450	8.773984909057617
389cc90cb2e3c1ef291ea78b73ece9d4_8	2451	8.709197044372559
389cc90cb2e3c1ef291ea78b73ece9d4_8	2453	8.607244491577148
389cc90cb2e3c1ef291ea78b73ece9d4_8	2454	7.277118682861328
